name;missing_vals;distinct_vals;type;Description;Imputing way;;;;;;
r_depart;1.0;0;float64;;REMOVED;;;;;;
visitors;0.995651143209816;6;float64;;REMOVED;;Categorical - One Hot Encoding;;;;
trp_act4;0.982735365524683;13;float64;;REMOVED;;Too many missing values - removed;;;;
hrshome;0.9823021147542323;35;float64;;REMOVED;;Imputing;;;;
times;0.9656914437060108;10;float64;;REMOVED;;;;;;
length;0.9656914437060108;9;float64;;REMOVED;;;;;;
morejobs;0.9652908911069148;4;float64;;REMOVED;;;;;;
w2_addr;0.9652908911069148;881;float64;;REMOVED;;;;;;C: O_RESTY, O_OWN, O_PRIMACT, O_OCCUP, O_INDUS, O_OCCUP2, O_INDUS2, O_SCHOOL, NOTRIPS, FNAME, LNAME, GNAME, NOTRIPS, O_ACT1, O_ACT2, O_MODE, O_PRKLOC, O_PLTYPE, O_ACT1, O_ACT2, O_MODE
occup2;0.9652908911069148;14;float64;;REMOVED;;;;;;
indust2;0.9652908911069148;22;float64;;REMOVED;;;;;;
trp_act3;0.9027474638480842;17;float64;;REMOVED;;;;;;
v_addr;0.8737278367707286;3116;float64;;REMOVED;;;;;;
studattn;0.7856144395124702;3;float64;;REMOVED;;;;;;
school;0.7856144395124702;5;float64;;REMOVED;;;;;;
s_addr;0.7856144395124702;7274;float64;;REMOVED;;;;;;
trp_act2;0.7235614848239612;20;float64;;REMOVED;;;;;;
hh_mem;0.5985645502775258;8;float64;;REMOVED;;;;;;
nonhh;0.5985645502775258;11;float64;;REMOVED;;;;;;
w1_addr;0.44838184924508095;15943;float64;;MODE Imput.;;;;;;
occup;0.44838184924508095;14;float64;;New category;;;;;;
industry;0.44838184924508095;23;float64;;New category;;;;;;
workhome;0.44838184924508095;3;float64;;to DK/RF;;;;;;
jobs;0.44838184924508095;3;float64;;to RF;;;;;;
trbrveh;0.15180943505734443;7;float64;No. Of borrowed vehicles;to 0;;;;;;
primact;0.144820200930263;9;float64;;to RF;;;;;;
lic;0.13362107724125527;4;float64;;to RF;;;;;;
borveh;0.010757698375718338;10;float64;No. Of borrowed vehicles;to 0;;;;;;
ptype;0.0;9;float64;;;;;;;;
pl_type;0.0;11;float64;;;;;;;;
trp_act1;0.0;21;float64;;;;;;;;
party;0.0;11;float64;;;;;;;;
arr_hr;0.0;24;float64;;;;;;;;
arr_min;0.0;60;float64;;;;;;;;
trpdur;0.0;212;float64;;;;;;;;
actdur;0.0;1113;float64;;;;;;;;
resp;0.0;2;float64;;;;;;;;
relation;0.0;8;float64;;;;;;;;
gender;0.0;3;float64;;;;;;;;
age;0.0;97;float64;;;;;;;;
student;0.0;3;float64;;;;;;;;
volunteer;0.0;5;float64;;;;;;;;
trips;0.0;24;float64;;;;;;;;
trvldywk;0.0;4;float64;;;;;;;;
trips_hh;0.0;55;float64;;;;;;;;
stayhome;0.0;9;float64;;;;;;;;
guest;0.0;4;float64;;;;;;;;
trnsient;0.0;15;float64;;;;;;;;
workers;0.0;7;float64;;;;;;;;
students;0.0;8;float64;;;;;;;;
drivers;0.0;7;float64;;;;;;;;
hhsize;0.0;10;float64;;;;;;;;
resty;0.0;7;float64;;;;;;;;
own;0.0;4;float64;"1=Own; 2=Rent;7,9";;;;;;;
totveh;0.0;10;float64;;;;;;;;
trveh;0.0;10;float64;;;;;;;;
income;0.0;4;float64;1,2,11,12,13,14,99;;;;;;;
no_phlns;0.0;9;float64;;;;;;;;
no_phone;0.0;3;float64;"1=Yes; 2=No; 8=DK;";;;;;;;
share;0.0;6;float64;;;;;;;;
fipscode;0.0;76;float64;;;;;;;;
w1;0.0;120;float64;;;;;;;;
w2;0.0;130;float64;;;;;;;;
w3;0.0;78;float64;;;;;;;;
w4;0.0;41;float64;;;;;;;;
w5;0.0;20;float64;;;;;;;;
w6;0.0;3;float64;;;;;;;;
fweight;0.0;5981;float64;;;;;;;;
nweight;0.0;10;float64;;;;;;;;
fnweight;0.0;5981;float64;;;;;;;;
expanfac;0.0;10;float64;;;;;;;;
target;0.0;12;float64;;;;;;;;
